PROGRAM NO.  |         PROBLEM
-------------|--------------------------------------
1            |     Jay Ganesh   
2            |     Jay Ganesh
3            |     Jay Ganesh
4            |     Java :  Find Factors of a number
5            |     C    :  Find Factors of a number
6            |     C++  :  Find Factors of a number
7            |     Java :  Find Sum of Factors of a number
8            |     C    :  Find Sum of Factors of a number
9            |     C++  :  Find Sum of Factors of a number
10           |     Java :  Check Whether number is perfect or not
11           |     C    :  Check Whether number is perfect or not
12           |     C++  :  Check Whether number is perfect or not
